waypoint1	waypoint2	distance_m	duration_s
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Atalaya Mountain, Santa Fe, NM	1096879	38038
Atalaya Mountain, Santa Fe, NM	Big Bend National Park, TX	884881	33604
Atalaya Mountain, Santa Fe, NM	113 Mill Creek Road, South Chatham, MA	3637463	121153
4919 Cave Run Drive, Houston, TX	N Dean St & E Texas St, Marfa, TX 79843	959023	30260
Atalaya Mountain, Santa Fe, NM	N Dean St & E Texas St, Marfa, TX 79843	750558	26041
Big Bend National Park, TX	N Dean St & E Texas St, Marfa, TX 79843	219519	10274
113 Mill Creek Road, South Chatham, MA	4919 Cave Run Drive, Houston, TX	3099530	102402
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	Big Bend National Park, TX	705653	25494
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	4919 Cave Run Drive, Houston, TX	305331	11819
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	113 Mill Creek Road, South Chatham, MA	3299433	109616
Big Bend National Park, TX	4919 Cave Run Drive, Houston, TX	1032399	35396
Big Bend National Park, TX	113 Mill Creek Road, South Chatham, MA	3852686	128654
Pedernales Falls State Park, Park Road 6026, Johnson City, TX	N Dean St & E Texas St, Marfa, TX 79843	632278	20357
Atalaya Mountain, Santa Fe, NM	4919 Cave Run Drive, Houston, TX	1360970	47400
113 Mill Creek Road, South Chatham, MA	N Dean St & E Texas St, Marfa, TX 79843	3770936	123446